Timestamp,SequenceNumber,MavlinkCommand,IPSourceHost,TCPSourcePort,IPDestHost,TCPDestPort,PacketLength
1679497277.356352551,3927569066,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497277.356389166,3927569195,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497277.356399664,3927569264,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497277.356425513,3927569304,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497277.365413150,3927569334,,172.16.0.8,5760,10.241.115.1,38510,80
1679497277.390655668,3927569362,102,172.16.0.8,5760,10.241.115.1,38510,435
1679497277.390697317,3927569745,32,172.16.0.8,5760,10.241.115.1,38510,92
1679497277.390707693,3927569785,241,172.16.0.8,5760,10.241.115.1,38510,84
1679497277.480174460,3927569946,103,172.16.0.8,5760,10.241.115.1,38510,413
1679497277.480233236,3927570307,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497277.480280622,3927570436,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497277.480302372,3927570505,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497277.525279332,3927570545,74,172.16.0.8,5760,10.241.115.1,38510,574
1679497277.525305181,3927571067,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497277.534663543,3927571196,103,172.16.0.8,5760,10.241.115.1,38510,219
1679497277.547459774,3927571363,102,172.16.0.8,5760,10.241.115.1,38510,250
1679497277.596376665,3927571561,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497277.596414775,3927571690,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497277.619035717,4045123895,0,10.241.115.1,38510,172.16.0.8,5760,91
1679497277.635400347,3927571759,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497277.635424862,3927571888,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497277.635434231,3927571957,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497277.635441605,3927571997,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497277.676275156,3927572027,,172.16.0.8,5760,10.241.115.1,38510,278
